,English,Meaning
187,lot,anything (straws or pebbles etc.) taken or chosen at random
188,right,free from error; especially conforming to fact or truth
189,study,applying the mind to learning and understanding a subject
190,book,an object consisting of a number of pages bound together
191,eye,the organ of sight
192,job,a specific piece of work required to be done as a duty
193,word,a unit of language that native speakers can identify
194,though,(postpositive) however
195,business,the principal activity in one's life to earn money
196,issue,some situation or event that is thought about
197,side,a place within a region identified relative to a center or reference location
198,kind,having a tender and considerate and helpful nature
199,four,the cardinal number that is the sum of three and one
200,head,the upper part of the human body or the body in animals
201,far,at or to or from a great distance in space
202,black,being of the achromatic color of maximum darkness
203,long,primarily spatial sense
204,both,(used with count nouns) two considered together; the two
205,little,limited or below average in number or quantity or magnitude
206,house,a dwelling that serves as living quarters for a family
207,yes,an affirmative
208,after,happening at a time subsequent to a reference time
209,long,primarily spatial sense
210,provide,give something useful or necessary to
211,service,an act of help or assistance
212,around,in the area or vicinity
213,friend,a person you know well and regard with affection and trust
214,important,significant in effect or meaning
215,father,a male parent
216,sit,take a seat
217,away,at a distance in space or time
218,power,possession of the qualities required to do something
219,hour,a period of time equal to 1/24th of a day
220,game,an amusement or pastime
221,often,many times at short intervals
222,yet,up to the present time
223,line,a length between two points
224,political,involving or characteristic of governing or social power
225,end,either extremity of something that has length
226,ever,at all times; all the time and on every occasion
227,stand,be standing; be upright
228,bad,having undesirable or negative qualities
229,lose,fail to keep or to maintain
230,however,in whatever way or manner
231,member,anything that belongs to a set or class
232,pay,"give money, usually in exchange for goods or services"
233,law,the collection of rules imposed by authority
234,meet,come together
235,car,a motor vehicle with four wheels
236,city,a large and densely populated urban area
237,almost,slightly short of or not quite accomplished; all but
238,include,have as a part; be made up out of
239,continue,keep or maintain in unaltered condition
240,set,put into a certain place or abstract location
241,later,happening at a time subsequent to a reference time
242,community,a group of people living in a particular local area
243,much,great in quantity or degree or extent
244,name,a language unit by which a person or thing is known
245,five,the cardinal number that is the sum of four and one
246,once,on one occasion
247,white,being of the achromatic color of maximum lightness
248,least,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
249,president,the leader of a republic or democracy
250,learn,gain knowledge or skills
251,real,being or occurring in fact or actuality
252,change,become different in some particular way
253,team,a cooperative unit
254,minute,a unit of time equal to 60 seconds or 1/60th of an hour
255,best,having the most positive qualities
256,several,of an indefinite number more than 2 or 3 but not many
257,idea,the content of cognition
258,kid,young goat
259,body,an individual 3-dimensional object that has mass
260,information,knowledge acquired through study or experience
261,nothing,in no respect; to no degree
262,ago,gone by; or in the past
263,right,free from error; especially conforming to fact or truth
264,lead,take somebody somewhere
265,social,living together or enjoying life in communities
266,understand,know and comprehend the nature or meaning of
267,back,the posterior part of a human (or animal) body
268,watch,look attentively
269,together,in contact with each other or in proximity
270,follow,"travel behind, go after, or come after"
271,around,in the area or vicinity
272,parent,a father or mother
273,only,without any others being included or involved
274,stop,"have an end, in a temporal, spatial, or quantitative sense"
275,face,the front of the human head from the forehead to the chin
276,create,bring into existence
277,public,not private
278,already,prior to a specified or implied time
279,speak,use language
280,read,look at and say out loud something written or printed
281,level,a relative position or degree of value in a graded group
282,allow,make it possible for something to happen
283,add,join or combine or unite with others
284,office,place of business where professional duties are performed
285,spend,pass time in a specific way
286,door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
287,health,the general condition of body and mind
288,person,a human being
289,art,the creation of beautiful or significant things
290,sure,having or feeling no doubt or uncertainty
291,such,of so extreme a degree or extent
292,war,the waging of armed conflict against an enemy
293,history,a record or narrative description of past events
294,party,an occasion on which people gather to socialize and have fun
295,within,on the inside
296,grow,increase in size by natural process
297,result,something that follows as a consequence
298,open,affording free passage or access
299,change,become different in some particular way
300,morning,the time period between dawn and noon
301,walk,use one's feet to advance; advance by steps
302,reason,a logical motive for a belief or action
303,low,less than normal in degree or intensity or amount
304,win,a victory (as in a race or other competition)
305,research,a seeking for knowledge
306,girl,a young woman
307,guy,an informal term for a youth or man
308,early,at or near the beginning of a period of time or course of events or before the usual or expected time
309,food,any substance that can be metabolized by an animal
310,before,at or in the front
311,moment,an indefinitely short time
312,air,a mixture of gases required for breathing
313,teacher,a person whose occupation is instructing
314,force,"influence that results in motion, stress, etc. when applied"
315,offer,present for acceptance or rejection
316,enough,sufficient for the purpose
317,both,(used with count nouns) two considered together; the two
318,education,activities that impart knowledge or skill
319,across,to the opposite side
320,remember,recall knowledge; have a recollection
321,foot,the pedal extremity of vertebrates other than human beings
322,second,coming next after the first in position in space or time
323,boy,a youthful male person
324,maybe,by chance
325,able,having the necessary means or skill to do something
326,age,how long something has existed
327,off,from a particular thing or place or position
328,policy,a plan of action adopted by an individual or social group
329,love,a strong positive emotion of regard and affection
330,process,a particular course of action intended to achieve a result
331,music,an artistic form of auditory communication
332,consider,think about carefully; weigh
333,appear,come into sight or view
334,actually,in fact
335,buy,obtain by purchase
336,probably,with considerable certainty; without much doubt
337,human,a person; a hominid with a large brain and articulate speech
338,wait,stay in one place and anticipate or expect something
339,serve,"devote one's life or efforts to, as of countries or ideas"
340,market,a store where groceries are sold
341,die,lose all bodily functions necessary to sustain life
342,send,cause to go somewhere
343,expect,regard something as probable or likely
344,home,where you live at a particular time
345,sense,the faculty through which the world is perceived
346,build,make by combining materials and parts
347,stay,"continue in a place, position, or situation"
348,fall,descend freely under the influence of gravity
349,nation,a politically organized body of people under a government
350,plan,a series of steps to be carried out or goals to be achieved
351,cut,separate with or as if with an instrument
352,college,an institution of higher education
353,interest,a sense of concern with and curiosity about something
354,death,the permanent end of all life functions in an organism
355,course,a connected series of events or actions or developments
356,someone,a human being
357,experience,the content of observation or participation in an event
358,behind,in or to or toward the rear
359,reach,move forward or upward in order to touch
360,local,of or belonging to or characteristic of a particular area
361,kill,cause to die
362,six,the cardinal number that is the sum of five and one
363,remain,"continue in a place, position, or situation"
364,effect,a phenomenon that is caused by some previous phenomenon
365,use,put into service
366,yeah,"not only so, but"
367,suggest,make a proposal; declare a plan for something
368,class,a collection of things sharing a common attribute
369,control,power to direct or determine
370,raise,move upwards
371,care,providing treatment for or attending to someone or something
372,perhaps,by chance
373,little,limited or below average in number or quantity or magnitude
374,late,at or toward an end or late period or stage of development
375,hard,resisting weight or pressure
376,field,extensive tract of level open land
377,pass,go across or through
378,former,the first of two or the first mentioned of two
379,sell,exchange or deliver for money or its equivalent
380,major,greater in scope or effect
381,sometimes,on certain occasions or in certain cases but not always
382,require,have need of
383,along,in line with a length or direction
384,development,a process in which something passes to a different stage
385,report,to give an account or representation of in words
386,role,the actions and activities assigned to a person or group
387,better,superior to another in excellence or quality or desirability
388,economic,of or relating to production and management of wealth
389,effort,use of physical or mental energy; hard work
390,up,spatially or metaphorically from a lower to a higher position
391,decide,"reach, make, or come to a conclusion about something"
392,rate,a quantity considered as a proportion of another quantity
393,strong,having strength or power greater than average or expected
394,possible,capable of happening or existing
395,heart,the hollow muscular organ located behind the sternum
396,drug,a substance that is used as a medicine or narcotic
397,show,make visible or noticeable
398,leader,a person who rules or guides or inspires others
399,light,electromagnetic radiation that can produce visual sensation
400,voice,the sound made when a person speaks
401,wife,a married woman; a partner in marriage
402,whole,"all of something, including all of its elements or parts"
403,police,the force of policemen and officers
404,mind,that which is responsible for one's thoughts and feelings
405,finally,as the end result of a sequence or process
406,pull,apply force so as to cause motion towards the source of the motion
407,return,"go or come back to place, condition, or activity where one has been before"
408,free,able to act at will
409,military,the armed forces of a nation
410,price,the amount of money needed to purchase something
411,report,to give an account or representation of in words
412,less,a quantifier meaning not as great in amount or degree
413,according,in agreement with
414,decision,a position or opinion reached after consideration
415,explain,make plain and comprehensible
416,son,a male human offspring
417,hope,the general feeling that some desire will be fulfilled
418,even,being level or straight or regular and without variation
419,develop,progress or evolve through a process of natural growth
420,view,the visual percept of a region
421,relationship,a mutual connection between people
422,carry,"physically move while supporting, by vehicle, hands, or body"
423,town,an urban area with a fixed boundary that is smaller than a city
424,road,an open way (generally public) for travel or transportation
425,drive,operate or control a vehicle
426,arm,a human limb
427,true,consistent with fact or reality; not false
428,federal,of a government with central and regional authorities
429,break,destroy the integrity of
430,better,superior to another in excellence or quality or desirability
431,difference,the quality of being unlike or dissimilar
432,thank,express gratitude or show appreciation to
433,receive,get something; come into possession of
434,value,the quality that renders something desirable
435,international,concerning or belonging to two or more countries
436,building,the act of constructing something
437,action,something done (usually as opposed to something said)
438,full,containing as much or as many as is possible or normal
439,model,"a representation of something, often on a smaller scale"
440,join,cause to become joined or linked
441,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
442,society,an extended group having a distinctive cultural organization
443,tax,a charge that a citizen pays to support government programs
444,director,someone who manages an organization
445,early,at or near the beginning of a period of time or course of events or before the usual or expected time
446,position,the particular part of space occupied by something
447,player,a person who participates in or is skilled at some game
448,agree,consent or assent to a condition
449,especially,to a distinctly greater extent or degree than is common
450,record,anything providing permanent evidence about past events
451,pick,look for and gather
452,wear,put clothing on one's body
453,paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
454,special,adapted to or reserved for a particular purpose
455,space,the unlimited expanse in which everything is located
456,ground,the solid part of the earth's surface
457,form,a perceptual structure
458,support,the act of bearing the weight of or strengthening
459,event,something that happens at a given place and time
460,official,of or relating to a place of business
461,matter,that which has mass and occupies space
462,center,an area that is in the middle of some larger region
463,couple,two items of the same kind
464,site,the piece of land on which something is located
465,end,either extremity of something that has length
466,project,a planned undertaking
467,hit,"deal a blow to, either with the hand or with an instrument"
468,base,lowest support of a structure
469,activity,any specific behavior
470,star,a celestial body of hot gases that radiates energy
471,table,furniture having a smooth flat top supported by legs
472,need,require or want
473,court,an assembly to conduct judicial business
474,produce,bring forth or yield
475,eat,take in solid food
476,American,of or relating to the United States of America or its people or language or culture
477,teach,impart skills or knowledge to
478,oil,a slippery or viscous liquid or liquefiable substance not miscible with water
479,half,one of two equal parts of a divisible whole
480,situation,physical position in relation to the surroundings
481,easy,posing no difficulty; requiring little effort
482,cost,be priced at
483,industry,the action of making of goods and services for sale
484,figure,alternate name for the body of a human being
485,face,the front of the human head from the forehead to the chin
486,street,a thoroughfare that is lined with buildings
487,image,a visual representation produced on a surface
488,phone,electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear
489,either,"used as an intensive after a negative meaning ""likewise"""
490,data,a collection of facts from which conclusions may be drawn
491,cover,provide with a covering or cause to be covered
492,quite,to the greatest extent; completely
493,picture,a visual representation produced on a surface
494,clear,readily apparent to the mind
495,practice,a customary way of operation or behavior
496,piece,a separate part of a whole
497,land,the solid part of the earth's surface
498,recent,of the immediate past or just previous to the present time
499,describe,give a statement representing something
500,product,an artifact that has been created by someone or some process
501,doctor,a person who holds Ph.D. degree from an academic institution
502,wall,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
503,patient,enduring trying circumstances with even temper
504,worker,a person who works at a specific occupation
505,news,information about recent and important events
506,test,standardized procedure for measuring sensitivity or aptitude
507,movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
508,certain,established beyond doubt or question; definitely known
509,north,the direction corresponding to the northward cardinal compass point
510,love,a strong positive emotion of regard and affection
511,personal,concerning an individual or his or her private life
512,open,affording free passage or access
513,support,the act of bearing the weight of or strengthening
514,simply,in a simple manner; without extravagance or embellishment
515,third,one of three equal parts of a divisible whole
516,technology,the practical application of science to commerce or industry
517,catch,take hold of so as to seize or stop the motion of
518,step,the act of changing location by raising the foot and setting it down
519,baby,a very young mammal
520,computer,a machine for performing calculations automatically
521,type,a subdivision of a particular kind of thing
522,attention,the act of concentrating on something
523,draw,cause to move by pulling
524,film,a series of moving pictures that tells a story
525,Republican,a member of the younger of two major U.S. political parties
526,tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
527,source,the place where something begins
528,red,the chromatic color resembling the hue of blood
529,nearly,slightly short of or not quite accomplished; all but
530,organization,a methodical and orderly manner or approach
531,choose,pick out from a number of alternatives
532,cause,events that provide the generative force of something
533,hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
534,look,perceive with attention; direct one's gaze towards
535,point,a distinguishing or individuating characteristic
536,century,a period of 100 years
537,evidence,knowledge on which to base belief
538,window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
539,difficult,requiring great physical or mental effort to accomplish
540,listen,hear with intention
541,soon,in the near future
542,culture,all the knowledge and values shared by a society
543,billion,one thousand million items or units in the United States
544,chance,an unknown and unpredictable phenomenon
545,brother,a male with the same parents as someone else
546,energy,forceful exertion
547,period,an amount of time
548,course,a connected series of events or actions or developments
549,summer,the warmest season of the year
550,less,a quantifier meaning not as great in amount or degree
551,realize,be fully aware or cognizant of
552,hundred,ten 10s
553,available,obtainable or accessible and ready for use or service
554,plant,a living organism without the power to move
555,likely,having a good chance of being the case or of coming about
556,opportunity,a possibility from a favorable combination of circumstances
557,term,a limited period of time during which something lasts
558,short,having little length or lacking in length
559,letter,a written message addressed to a person or organization
560,condition,a mode of being or form of existence of a person or thing
561,choice,the act of selecting
562,place,a point located with respect to surface features of a region
563,single,existing alone or consisting of one entity or part or aspect or individual
564,rule,prescribed guide for conduct or action
565,daughter,a female human offspring
566,administration,the act of governing or exercising authority
567,south,the direction corresponding to the southward cardinal compass point
568,husband,a male partner in a marriage
569,Congress,the legislature of the United States government
570,floor,the inside lower horizontal surface
571,campaign,related operations aimed at achieving a particular goal
572,material,the substance that goes into the makeup of a physical object
573,population,the people who inhabit a territory or state
574,well,in a good or satisfactory manner or to a high standard
575,call,utter a sudden loud cry
576,economy,the system of production and distribution and consumption
577,medical,relating to the study or practice of medicine
578,hospital,a medical institution where sick or injured people are given medical or surgical care
579,church,a place for public (especially Christian) worship
580,close,at or within a short distance in space or time
581,thousand,the cardinal number that is the product of 10 and 100
582,risk,a source of danger
583,current,occurring in or belonging to the present time
584,fire,the process of combustion of inflammable materials
585,future,the time yet to come
586,wrong,not correct; not in conformity with fact or truth
587,involve,contain as a part
588,defense,the act of guarding someone or something against attack
589,increase,a process of becoming larger or longer or more numerous
590,security,the state of being free from danger or injury
591,bank,financial institution that accepts deposits and lends money
592,certainly,definitely or positively
593,west,the cardinal compass point that is a 270 degrees
594,sport,active diversion requiring physical exertion and competition
595,board,a stout length of sawn timber
596,seek,"try to locate, discover, or establish the existence of"
597,subject,some situation or event that is thought about
598,officer,a member of a police force
599,private,confined to particular persons or groups
600,rest,take a short break from one's activities in order to relax
601,behavior,the way a person acts toward other people
602,deal,"be in charge of, act on, or dispose of"
603,performance,the act of doing something successfully
604,fight,be engaged in a contest or struggle
605,throw,propel through the air
606,top,the upper part of anything
607,quickly,with little or no delay
608,past,earlier than the present time; no longer current
609,goal,the state of affairs that a plan is intended to achieve
610,second,coming next after the first in position in space or time
611,bed,a piece of furniture that provides a place to sleep
612,order,logical arrangement of different elements
613,author,a person who writes professionally
614,fill,"make full, also in a metaphorical sense"
615,represent,be a delegate or spokesperson for
616,focus,the concentration of attention or energy on something
617,foreign,not deriving from the essential nature of something
618,drop,let fall to the ground
619,plan,a series of steps to be carried out or goals to be achieved
620,blood,the fluid that is pumped through the body by the heart
621,agency,the state of being in action or exerting power
622,push,"move with force, ""He pushed the table into a corner"""
623,nature,the physical world including plants and animals
624,color,a visual attribute of things from the light they emit
625,no,quantifier
626,recently,in the recent past
627,store,a mercantile establishment for the sale of goods or services
628,reduce,make smaller
629,sound,mechanical vibrations transmitted by an elastic medium
630,note,a brief written record
631,fine,free from impurities
632,before,at or in the front
633,near,near in time or place or relationship
634,movement,change of position that does not entail a change of location
635,page,one side of one leaf of a book or other document
636,enter,to come or go into
637,share,assets belonging to an individual person or group
638,common,having no special distinction or quality
639,poor,having little money or few possessions
640,other,not the same one or ones already mentioned or implied
641,natural,relating to or concerning the physical world
642,race,a contest of speed
643,concern,something that interests you because it is important
644,series,similar things placed in order or one after another
645,significant,rich in implication
646,similar,having the same or nearly the same characteristics
647,hot,having a high or higher than desirable temperature
648,language,a means of communicating by the use of sounds or symbols
649,each,(used of count nouns) every one considered individually
650,usually,under normal conditions
651,response,the speech act of continuing a conversational exchange
652,dead,no longer having or seeming to have or expecting to have life
653,rise,move upward
654,animal,a living organism characterized by voluntary movement
655,factor,anything that contributes causally to a result
656,decade,a period of 10 years
657,article,one of a class of artifacts
658,shoot,fire a shot
659,east,the cardinal compass point that is at 90 degrees
660,save,bring into safety
661,seven,the cardinal number that is the sum of six and one
662,artist,person whose creative work shows sensitivity and imagination
663,away,at a distance in space or time
664,scene,the place where some action occurs
665,stock,a supply of something available for future use
666,career,the particular occupation for which you are trained
667,despite,contemptuous disregard
668,central,in or near an inner area
669,eight,the cardinal number that is the sum of seven and one
670,thus,from that fact or reason or as a result
671,treatment,the management of someone or something
672,beyond,farther along in space or time or degree
673,happy,marked by good fortune
674,exactly,indicating preciseness
675,protect,"shield from danger, injury, destruction, or damage"
676,approach,move towards
677,lie,be prostrate; be in a horizontal position
678,size,the physical magnitude of something (how big it is)
679,dog,a canine domesticated by man since prehistoric times
680,fund,a reserve of money set aside for some purpose
681,serious,of great consequence
682,occur,come to pass
683,ready,completely prepared or in condition for immediate action or use or progress
684,sign,a visible clue that something has happened or is present
685,thought,the content of cognition
686,list,a database containing an ordered array of items
687,individual,being or characteristic of a single thing or person
688,simple,having few parts; not complex or complicated or involved
689,quality,an essential and distinguishing attribute of something
690,pressure,the act of putting pressure on something
691,accept,receive willingly something given or offered
692,answer,a statement made to reply to a question or criticism
693,hard,resisting weight or pressure
694,resource,aid or support that may be drawn upon when needed
695,identify,recognize as being
696,left,being or located on or directed toward the side of the body to the west when facing north
697,meeting,the social act of assembling for some common purpose
698,determine,"find out or learn with certainty, as by making an inquiry"
699,prepare,make ready or suitable or equip in advance
700,disease,an impairment of health
701,whatever,one or some or every or all without specification
702,success,an event that accomplishes its intended purpose
703,argue,have a disagreement about something
704,cup,a small open container usually used for drinking
705,particularly,to a distinctly greater extent or degree than is common
706,amount,how much there is of something that you can quantify
707,ability,the quality of having the means or skills to do something
708,staff,a strong rod or stick with a specialized utilitarian purpose
709,recognize,perceive to be something or something you can identify
710,indicate,"designate a place, direction, person, or thing"
711,character,a property that defines the individual nature of something
712,growth,changing gradually from a simple to a more complex level
713,loss,the act of losing someone or something
714,degree,a specific identifiable position in a continuum or series
715,wonder,the feeling aroused by something strange and surprising
716,attack,an offensive against an enemy
717,region,the extended spatial location of something
718,television,an electronic device that receives television signals and displays them on a screen
719,box,a (usually rectangular) container; may have a lid
720,TV,broadcasting visual images of stationary or moving objects
721,training,activity leading to skilled behavior
722,pretty,pleasing by delicacy or grace; not imposing
723,trade,the commercial exchange of goods and services
724,deal,"be in charge of, act on, or dispose of"
725,election,a vote choosing the winner of a position or political office
726,physical,involving the body as distinguished from the mind or spirit
727,lay,put into a certain place
728,general,applying to all or most members of a category or group
729,feeling,a physical sensation that you experience
730,standard,a basis for comparison
731,bill,an itemized statement of money owed for goods or services
732,message,a communication that is written or spoken or signaled
733,fail,be unable
734,outside,the region that is outside of something
735,arrive,reach a destination
736,analysis,abstract separation of something into its various parts
737,benefit,something that aids or promotes well-being
738,name,a language unit by which a person or thing is known
739,sex,one of two categories into which most organisms are divided
740,forward,at or to or toward the front
741,lawyer,a professional person authorized for legal practice
742,present,happening or existing now
743,section,one of several parts or pieces that fit with others
744,environmental,of or relating to the external conditions or surroundings
745,glass,a brittle transparent solid with irregular atomic structure
746,answer,a statement made to reply to a question or criticism
747,skill,an ability that has been acquired by training
748,sister,a female person who has the same parents as another person
749,PM,an examination and dissection of a dead body to determine cause of death or the changes produced by disease
750,professor,a member of the faculty at a college or university
751,operation,process or manner of functioning
752,financial,involving fiscal matters
753,crime,an act punishable by law; usually considered an evil act
754,stage,any distinct time period in a sequence of events
755,ok,being satisfactory or in satisfactory condition
756,compare,examine and note the similarities or differences of
757,authority,the power or right to give orders or make decisions
758,miss,fail to perceive or to catch with the senses or the mind
759,design,the act of working out the form of something
760,sort,a category of things distinguished by some common characteristic or quality
761,one,smallest whole number or a numeral representing this number
762,act,behave in a certain manner
763,ten,the cardinal number that is the sum of nine and one
764,knowledge,"the result of perception, learning, and reasoning"
765,gun,a weapon that discharges a missile at high velocity
766,station,a facility equipped with special equipment and personnel
767,blue,of the color intermediate between green and violet
768,state,the way something is with respect to its main attributes
769,strategy,an elaborate and systematic plan of action
770,little,limited or below average in number or quantity or magnitude
771,clearly,without doubt or question
772,discuss,consider or examine in speech or writing
773,indeed,in truth (often tends to intensify)
774,force,"influence that results in motion, stress, etc. when applied"
775,truth,a factual statement
776,song,a short musical composition with words
777,example,an item of information that is typical of a class or group
778,democratic,based upon the principles of social equality
779,check,examine to determine accuracy or quality
780,environment,the totality of surrounding conditions
781,leg,a human limb
782,dark,devoid of or deficient in light or brightness
783,public,not private
784,various,having great diversity or variety
785,rather,more readily or willingly
786,laugh,produce laughter
787,guess,"expect, believe, or suppose"
788,executive,a person responsible for the administration of a business
789,set,put into a certain place or abstract location
790,study,applying the mind to learning and understanding a subject
791,prove,establish the validity of something
792,hang,cause to be hanging or suspended
793,entire,constituting the full quantity or extent; complete
794,rock,material consisting of the aggregate of minerals
795,design,the act of working out the form of something
796,enough,sufficient for the purpose
797,forget,dismiss from the mind; stop remembering
798,claim,assert or affirm strongly
799,note,a brief written record
800,remove,"take something away as by lifting, pushing, or taking off"
